video_id,frames,caption_words,comments,corr_avg,corr_median,corr_n,corr_n_ge_60,duration_s
-AKD2Lv7XqI,125,29004,3,62.992,80.0,375,260,415.428209
0Mu2L9z1MH8,247,46850,1,61.34412955465587,80.0,247,168,411.805896
1WYDsiYJGoQ,394,95786,4,27.142766497461928,20.0,1576,393,1314.342313
2_y_3_3V-so,62,18974,1,66.53225806451613,80.0,62,47,204.93932
3xe-g35SmEY,152,32491,1,15.05921052631579,20.0,152,9,632.023946
408qlS2z6ys,249,60524,2,49.407630522088354,30.0,498,237,828.070023
4ObzEft2R_g,119,25978,5,62.122689075630255,80.0,595,412,396.991565
4dmrahCJonM,339,88217,1,76.36283185840708,85.0,339,287,1354.861134
8YPX1gZGyJg,184,38999,2,59.31521739130435,80.0,368,237,306.271202
AOf-i2vLd2o,371,103636,4,51.836253369272235,80.0,1484,804,1236.207166
AmlmkTPqZrk,44,10858,1,42.38636363636363,20.0,44,18,144.079819
AoJDIy52y7g,195,40983,3,37.43418803418803,20.0,585,185,648.301134
BYvTEfNAi38,194,52771,1,81.55670103092784,85.0,194,178,809.12254
E_RDCFOlJx4,251,71213,3,63.90969455511288,80.0,753,513,1043.690522
EdUAecpYVWQ,284,79139,1,39.75352112676056,20.0,284,97,946.631111
FXSpHy8LvmY,215,56935,1,66.75813953488372,80.0,215,156,894.479093
GrvvkYTW_0k,140,34785,11,36.87337662337662,20.0,1540,533,465.81551
ILeLo1lWjBk,643,158331,1,16.262830482115085,0.0,643,87,1071.368707
IiilGiJZDsI,198,46891,1,21.232323232323232,20.0,198,6,656.822857
KKjHZpNMeik,153,39109,1,39.6078431372549,20.0,153,48,508.981406
L0QraSYq8tw,112,25629,2,63.879464285714285,80.0,224,163,372.912472
MEHVDGUP2Co,127,29500,1,34.78346456692913,20.0,254,76,210.233469
OBM5T5_kgdI,154,42144,3,62.22077922077922,80.0,462,308,512.580499
PS_p3O9q4YI,378,86174,1,24.515873015873016,20.0,378,39,1259.868299
PlKeFj5teo4,44,11604,1,62.61363636363637,80.0,44,31,437.6
RiRyzLl4Y8U,285,77074,6,72.35263157894737,80.0,1710,1390,1138.776236
Sd6CcsCgFbg,232,61979,1,47.202586206896555,20.0,232,104,2315.8
URj7TorDHmQ,201,57741,1,75.13930348258707,85.0,201,167,669.175873
UrCFv2qCELI,224,67060,1,29.651785714285715,20.0,224,44,745.337324
WoxDbIbpP_Q,1266,357914,3,49.043180621379676,30.0,3798,1853,2109.57932
XRsJRqipSx8,260,52158,1,81.9423076923077,80.0,260,258,1082.839365
_VzHpLjKeZ8,1773,401177,2,77.11731528482798,90.0,3546,2955,2957.363084
aXTtu4n37WI,385,93940,2,65.4,85.0,770,548,1283.343673
aqfyRUVSq9I,223,44463,2,66.96412556053812,80.0,446,335,926.47619
btOIDQeMrMg,73,17149,1,39.02739726027397,20.0,73,25,302.18449
dQeNONerxEU,354,79972,2,51.67231638418079,80.0,708,376,1474.908299
dmPIydL0lyM,233,60240,2,57.46351931330472,80.0,466,281,775.291066
ewYBc1jBDGM,309,71492,1,51.420711974110034,70.0,309,164,1029.22449
hpeKrMG-WP0,205,54752,1,80.56585365853658,85.0,205,184,851.661497
iKZ05QIN8mc,630,141112,6,54.3515873015873,80.0,3780,2167,2147.961905
jhvXWpRmhvM,108,21032,1,14.074074074074074,0.0,108,10,359.328798
lAVYDUeqdW4,94,25924,1,81.11702127659575,85.0,94,90,313.399728
lBC1nEq0_nk,232,65431,2,77.28232758620689,85.0,464,401,967.366531
lBGE5lwbruE,198,44928,2,73.57323232323232,80.0,396,332,789.849977
n3TeLpbw_jk,391,84612,1,19.757033248081843,0.0,391,70,1304.288073
nxKkM4bXPFI,291,73212,1,19.652920962199314,20.0,291,20,483.857415
sL0LtyfNYkM,231,48854,1,67.88744588744589,85.0,231,167,961.445442
t1Q9_PlN4GU,60,17046,1,77.86666666666666,85.0,60,54,198.902132
tFVAaUcOm4I,402,109205,1,40.13681592039801,20.0,402,136,1338.467846
taSlxgvvrBM,81,16377,1,89.60493827160494,90.0,81,79,267.818957
uwDajwnP2XE,115,24946,1,70.1304347826087,80.0,115,94,478.377506
wEevt2a4SKI,1729,367648,1,32.66628108733372,20.0,1729,422,5766.1934
wKyt5ssrDQ8,78,21581,1,64.32051282051282,82.5,78,54,258.716735
yctzuuGAm-E,730,168930,1,26.89178082191781,20.0,730,122,2431.82585
zUyj7Xn9-sk,138,32779,1,86.03623188405797,90.0,138,132,230.040091
zt7YAna-Qcc,235,47947,2,30.525531914893616,20.0,470,98,938.968526
