video_id,frames,caption_words,comments,corr_avg,corr_median,corr_n,corr_n_ge_60,duration_s
-qCO7NUpLc0,144,28601,2,82.44791666666667,85.0,288,270,479.161
09c4bdKM5Kw,526,133773,2,19.34790874524715,20.0,1052,91,875.981
15cdyl2PU-E,129,24384,2,28.348837209302324,20.0,258,50,428.641
31ArBvYoG2Q,988,190777,1,80.21862348178138,85.0,988,900,1648.181
35YuILUlfGs,160,41233,1,59.96875,80.0,160,108,664.661
3cFSNRG2xfA,46,9666,1,78.47826086956522,85.0,46,40,151.9518
3dQjIeYoIdM,115,24358,3,56.81739130434783,80.0,345,212,478.921
56p3_aORiJ0,363,92099,4,73.59366391184572,85.0,1452,1207,1209.921
7JH1_ZKV7t4,157,35414,1,14.713375796178344,5.0,157,13,523.701
9fFjlxUUQZg,126,26287,2,53.76190476190476,80.0,252,142,417.801
9fYzb1g8tzw,164,36169,1,42.19512195121951,20.0,164,66,652.061
ACvQNJwZSPg,100,20263,2,59.65,80.0,200,132,330.621
AN3yxIBAxTA,296,75889,1,54.722972972972975,80.0,296,165,984.121
CAYKno16weE,163,36162,7,61.20245398773006,80.0,1141,779,649.941
CvMDlG_AF3Q,171,37714,3,72.00779727095517,80.0,513,428,569.701
DOWDNBu9DkU,310,61991,1,6.483870967741935,0.0,310,6,1291.521
DQOt-m7rg80,160,39195,1,76.65625,80.0,160,146,531.861
DeSDjjicGWY,478,99626,1,49.40167364016737,30.0,478,236,954.441
DkbfBIMSdgo,97,22377,1,64.79381443298969,80.0,97,70,384.701
ERLMO-nay30,104,21374,2,72.79326923076923,80.0,208,176,344.201
FNG9f2qJdWk,103,21776,1,50.33980582524272,70.0,103,54,341.461
GbdF6th5PZk,146,30237,4,26.190068493150687,20.0,584,107,485.161
Gpm-TI21x9s,263,54282,1,66.81368821292776,80.0,263,191,1048.221
GqCn94Ksdbo,181,37679,2,84.10220994475138,85.0,362,349,603.481
HWMq1WjvgfE,510,122743,2,85.47745098039216,90.0,1020,975,1699.361
K4aI2t5T00c,304,58336,7,63.06343984962406,80.0,2128,1456,506.381
KDwqqlqdYFQ,175,35037,1,78.85714285714286,80.0,175,161,581.901
LYJDlz5w77Y,307,57803,2,56.32084690553746,80.0,614,337,1022.888533
N5DbiWFjbh8,644,174996,1,44.76863354037267,20.0,644,299,1073.121
NQvVeLHzfSs,30,6561,5,73.0,80.0,150,123,132.541
P4GsoMTv-SY,362,86073,5,53.04530386740331,80.0,1810,969,1216.141
PWyqVEkZGWk,264,70492,2,74.9905303030303,80.0,528,461,877.981
PfFkm0Kgkn0,115,22895,1,77.65217391304348,80.0,115,106,382.361
R2UqeJbK2yc,255,51260,2,82.00980392156863,80.0,510,495,424.701
S0j4xOuRzD4,163,34440,5,59.282208588957054,80.0,815,530,649.901
U5cqrrhq9TA,206,42160,3,53.79449838187702,80.0,618,357,685.361
WoHjWZFTnpQ,196,42855,1,59.0,80.0,196,121,651.466667
WpE4mQegNLgESP32,286,77072,1,46.25524475524475,20.0,286,136,
YIAQ80evrFM,88,17876,7,62.93181818181818,80.0,616,429,293.261
YQ8ZhHBraZg,58,12739,1,38.36206896551724,20.0,58,20,192.181
YQeOmeMGpvE,190,41980,1,37.18421052631579,20.0,190,58,790.261
ZOuZWE_tfgQ,291,65731,2,76.39862542955326,80.0,582,523,969.341
_HHxV-7alwE,798,191247,2,33.85087719298246,20.0,1596,402,2660.021
a3wDEcORRR4,139,31919,2,79.35251798561151,80.0,278,263,461.027233
cggDZE7gZNw,279,57558,4,74.79749103942652,80.0,1116,965,556.861
dKB7uHYU-ow,86,15756,1,58.19767441860465,80.0,86,53,284.241
dV8rpGUoxns,612,123151,1,77.54575163398692,80.0,612,566,1019.921
fcmXG3wB_1M,174,35281,1,66.33333333333333,85.0,174,131,578.361
gdJHi9I0V4w,349,64284,2,54.69484240687679,80.0,698,397,581.461
h50JwrVl2nQ,220,47223,2,67.05,80.0,440,341,366.561
hRnofMxEf3Q,447,115570,1,35.022371364653246,20.0,447,129,1489.921
hnPi6i8Ua1M,110,22528,6,49.49393939393939,40.0,660,327,365.441
jLXW6qVdfq4,70,13869,3,79.19047619047619,85.0,210,193,233.181
lV6zevUF-v0,249,51435,2,54.407630522088354,80.0,498,285,828.761
lWgYgef-hQ8,155,33252,2,58.94838709677419,80.0,310,199,516.001
mcAMNsmT6uE,164,30532,2,59.71646341463415,80.0,328,215,653.141
muGlauyfOGsT,152,28306,1,23.61842105263158,20.0,152,13,506.601
nxMkX0wtLm4,103,21201,3,76.1715210355987,80.0,309,272,341.861
qNLvoSQCx60,156,35603,1,36.44230769230769,20.0,156,55,623.661
r0kBl1__VEQ,506,88260,1,66.84782608695652,80.0,506,390,843.301
raTtiqWOFW8,151,32289,2,66.64238410596026,80.0,302,221,503.161
re-dSV_a0tM,865,211441,1,21.939884393063583,20.0,865,58,1440.801
rw3I118gQa8,357,70957,1,75.69747899159664,80.0,357,318,594.481
s0dNRe0XWJ8,305,63784,1,17.80327868852459,5.0,305,43,1016.741
sF0KOVWj9p8,220,48220,2,20.788636363636364,20.0,440,50,730.701
sHwSIcIdeDI,126,25313,1,71.54761904761905,85.0,126,99,503.76
sI5Ftm1-jik,77,15472,3,47.96536796536797,20.0,231,109,254.541
t4LPzGIr41c,204,40165,1,73.13235294117646,80.0,204,169,678.761
u40kX1DYKdA,138,35265,1,58.6231884057971,80.0,138,88,458.421
w49SSxiPK_Q,71,14346,2,75.98591549295774,80.0,142,128,236.161
wmTlM5s2xTY,268,60964,1,36.1455223880597,20.0,268,79,891.281
yPwYNUDkkZs,357,78910,2,74.36414565826331,80.0,714,597,1189.621
z58RORCUTao,367,74612,1,22.561307901907355,20.0,367,61,612.041
zZE4AejgDOA,176,32678,1,68.60795454545455,80.0,176,139,584.561
