subgroup,content_type,count,percentage
conventional,hands_on_demonstration,312,6.41
conventional,equipment_closeup,404,8.3
conventional,presenter_talking,1031,21.17
conventional,slide_or_powerpoint,858,17.62
conventional,diagram_or_whiteboard,1441,29.6
conventional,screen_or_software,405,8.32
conventional,animation_or_graphic,273,5.61
conventional,device_in_operation,110,2.26
conventional,other,35,0.72
verbally_embodied,hands_on_demonstration,1075,26.99
verbally_embodied,equipment_closeup,442,11.1
verbally_embodied,presenter_talking,514,12.9
verbally_embodied,slide_or_powerpoint,390,9.79
verbally_embodied,diagram_or_whiteboard,437,10.97
verbally_embodied,screen_or_software,701,17.6
verbally_embodied,animation_or_graphic,97,2.44
verbally_embodied,device_in_operation,275,6.9
verbally_embodied,other,52,1.31
visually_embodied,hands_on_demonstration,802,70.04
visually_embodied,equipment_closeup,187,16.33
visually_embodied,presenter_talking,0,0.0
visually_embodied,slide_or_powerpoint,17,1.48
visually_embodied,diagram_or_whiteboard,4,0.35
visually_embodied,screen_or_software,38,3.32
visually_embodied,animation_or_graphic,15,1.31
visually_embodied,device_in_operation,62,5.41
visually_embodied,other,20,1.75
