video_id,subgroup,segment_index,start,end,content_type,alignment_score,narration,hands_visible,instructional_density,visual_avg_score,visual_pct_correlated,transcript_avg_score,transcript_pct_correlated,n_visual,n_transcript
aqfyRUVSq9I,conventional,1,0,10,presenter_talking,100,True,True,1,0.0,0.0,44.0,50.0,2,2
aqfyRUVSq9I,conventional,2,10,20,hands_on_demonstration,0,False,True,1,95.0,100.0,45.0,50.0,2,2
aqfyRUVSq9I,conventional,3,20,30,presenter_talking,100,True,True,1,0.0,0.0,45.0,50.0,2,2
aqfyRUVSq9I,conventional,4,30,40,presenter_talking,100,True,True,2,92.5,100.0,40.0,50.0,2,2
aqfyRUVSq9I,conventional,5,40,50,presenter_talking,100,True,True,3,87.5,100.0,67.5,100.0,2,2
aqfyRUVSq9I,conventional,6,50,60,diagram_or_whiteboard,100,True,True,5,95.0,100.0,30.0,50.0,2,2
aqfyRUVSq9I,conventional,7,60,70,diagram_or_whiteboard,100,True,True,5,47.5,50.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,8,70,80,diagram_or_whiteboard,100,True,True,5,47.5,50.0,55.0,50.0,2,2
aqfyRUVSq9I,conventional,9,80,90,diagram_or_whiteboard,100,True,True,5,95.0,100.0,39.0,50.0,2,2
aqfyRUVSq9I,conventional,10,90,100,diagram_or_whiteboard,100,True,True,5,95.0,100.0,40.0,50.0,2,2
aqfyRUVSq9I,conventional,11,100,110,diagram_or_whiteboard,100,True,True,5,85.0,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,12,110,120,diagram_or_whiteboard,100,True,True,5,95.0,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,13,120,130,diagram_or_whiteboard,100,True,True,5,95.0,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,14,130,140,diagram_or_whiteboard,100,True,True,5,95.0,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,15,140,150,diagram_or_whiteboard,100,True,True,5,45.0,50.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,16,150,160,diagram_or_whiteboard,100,True,True,5,95.0,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,17,160,170,diagram_or_whiteboard,100,True,True,5,95.0,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,18,170,180,diagram_or_whiteboard,100,True,True,5,95.0,100.0,40.0,50.0,2,2
aqfyRUVSq9I,conventional,19,180,190,diagram_or_whiteboard,100,True,True,5,95.0,100.0,30.0,50.0,2,2
aqfyRUVSq9I,conventional,20,190,200,diagram_or_whiteboard,100,True,True,5,95.0,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,21,200,210,diagram_or_whiteboard,100,True,True,5,95.0,100.0,36.0,50.0,2,2
aqfyRUVSq9I,conventional,22,210,220,diagram_or_whiteboard,100,True,True,5,95.0,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,23,220,230,diagram_or_whiteboard,100,True,True,5,95.0,100.0,37.5,50.0,2,2
aqfyRUVSq9I,conventional,24,230,240,diagram_or_whiteboard,100,True,True,5,87.5,100.0,10.0,0.0,2,2
aqfyRUVSq9I,conventional,25,240,250,diagram_or_whiteboard,100,True,True,5,95.0,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,26,250,260,diagram_or_whiteboard,100,True,True,5,96.5,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,27,260,270,diagram_or_whiteboard,100,True,True,5,95.0,100.0,30.0,50.0,2,2
aqfyRUVSq9I,conventional,28,270,280,diagram_or_whiteboard,100,True,True,5,90.0,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,29,280,290,diagram_or_whiteboard,100,True,True,5,95.0,100.0,30.0,50.0,2,2
aqfyRUVSq9I,conventional,30,290,300,diagram_or_whiteboard,100,True,True,5,87.5,100.0,44.0,50.0,2,2
aqfyRUVSq9I,conventional,31,300,310,diagram_or_whiteboard,100,True,True,5,90.0,100.0,47.5,50.0,2,2
aqfyRUVSq9I,conventional,32,310,320,diagram_or_whiteboard,100,True,True,5,96.5,100.0,40.0,50.0,2,2
aqfyRUVSq9I,conventional,33,320,330,diagram_or_whiteboard,100,True,True,5,95.0,100.0,44.0,50.0,2,2
aqfyRUVSq9I,conventional,34,330,340,diagram_or_whiteboard,100,True,True,5,95.0,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,35,340,350,diagram_or_whiteboard,100,True,True,5,95.0,100.0,45.0,50.0,2,2
aqfyRUVSq9I,conventional,36,350,360,diagram_or_whiteboard,100,True,True,5,95.0,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,37,360,370,diagram_or_whiteboard,100,True,True,5,96.5,100.0,47.5,50.0,2,2
aqfyRUVSq9I,conventional,38,370,380,diagram_or_whiteboard,100,True,True,5,95.0,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,39,380,390,diagram_or_whiteboard,100,True,True,5,95.0,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,40,390,400,diagram_or_whiteboard,100,True,True,5,92.5,100.0,30.0,50.0,2,2
aqfyRUVSq9I,conventional,41,400,410,diagram_or_whiteboard,100,True,True,5,92.5,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,42,410,420,diagram_or_whiteboard,100,True,True,5,95.0,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,43,420,430,diagram_or_whiteboard,100,True,True,5,95.0,100.0,17.5,50.0,2,2
aqfyRUVSq9I,conventional,44,430,440,diagram_or_whiteboard,100,True,True,5,95.0,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,45,440,450,diagram_or_whiteboard,100,True,True,5,95.0,100.0,84.0,100.0,2,2
aqfyRUVSq9I,conventional,46,450,460,diagram_or_whiteboard,100,True,True,5,95.0,100.0,45.0,50.0,2,2
aqfyRUVSq9I,conventional,47,460,470,diagram_or_whiteboard,100,True,True,5,95.0,100.0,35.0,50.0,2,2
aqfyRUVSq9I,conventional,48,470,480,diagram_or_whiteboard,100,True,True,5,95.0,100.0,40.0,50.0,2,2
aqfyRUVSq9I,conventional,49,480,490,diagram_or_whiteboard,100,True,True,5,47.5,50.0,40.0,50.0,2,2
aqfyRUVSq9I,conventional,50,490,500,diagram_or_whiteboard,100,True,True,5,95.0,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,51,500,510,diagram_or_whiteboard,100,True,True,5,47.5,50.0,37.5,50.0,2,2
aqfyRUVSq9I,conventional,52,510,520,diagram_or_whiteboard,100,True,True,5,95.0,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,53,520,530,diagram_or_whiteboard,100,True,True,5,90.0,100.0,45.0,50.0,2,2
aqfyRUVSq9I,conventional,54,530,540,diagram_or_whiteboard,100,True,True,5,95.0,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,55,540,550,diagram_or_whiteboard,100,True,True,5,92.5,100.0,0.0,0.0,2,2
aqfyRUVSq9I,conventional,56,550,560,diagram_or_whiteboard,100,True,True,5,0.0,0.0,10.0,0.0,2,2
aqfyRUVSq9I,conventional,57,560,570,diagram_or_whiteboard,100,True,True,5,40.0,50.0,42.5,50.0,2,2
aqfyRUVSq9I,conventional,58,570,580,diagram_or_whiteboard,100,True,True,5,95.0,100.0,85.0,100.0,2,2
aqfyRUVSq9I,conventional,59,580,590,diagram_or_whiteboard,100,True,True,5,95.0,100.0,76.0,100.0,2,2
aqfyRUVSq9I,conventional,60,590,600,diagram_or_whiteboard,100,True,True,5,95.0,100.0,75.0,100.0,2,2
aqfyRUVSq9I,conventional,61,600,610,diagram_or_whiteboard,100,True,True,4,95.0,100.0,86.0,100.0,2,2
aqfyRUVSq9I,conventional,62,610,620,diagram_or_whiteboard,100,True,True,4,95.0,100.0,90.0,100.0,2,2
