subgroup,content_type,top_pct,bottom_pct,delta
conventional,animation_or_graphic,7.92,4.06,3.86
conventional,device_in_operation,2.8,4.28,-1.48
conventional,diagram_or_whiteboard,39.22,23.77,15.45
conventional,equipment_closeup,2.56,9.58,-7.02
conventional,hands_on_demonstration,2.44,5.58,-3.14
conventional,other,0.61,0.51,0.1
conventional,presenter_talking,28.87,20.9,7.97
conventional,screen_or_software,1.34,8.06,-6.72
conventional,slide_or_powerpoint,14.25,23.27,-9.02
verbally_embodied,animation_or_graphic,0.34,3.71,-3.37
verbally_embodied,device_in_operation,4.15,12.22,-8.07
verbally_embodied,diagram_or_whiteboard,1.91,5.79,-3.89
verbally_embodied,equipment_closeup,12.0,7.6,4.39
verbally_embodied,hands_on_demonstration,53.92,9.05,44.87
verbally_embodied,other,1.01,2.17,-1.16
verbally_embodied,presenter_talking,14.69,15.2,-0.52
verbally_embodied,screen_or_software,7.74,33.21,-25.48
verbally_embodied,slide_or_powerpoint,4.26,11.04,-6.78
visually_embodied,animation_or_graphic,1.97,1.05,0.92
visually_embodied,device_in_operation,3.62,7.34,-3.72
visually_embodied,diagram_or_whiteboard,0.33,0.35,-0.02
visually_embodied,equipment_closeup,11.18,17.83,-6.65
visually_embodied,hands_on_demonstration,77.63,67.13,10.5
visually_embodied,other,0.99,1.75,-0.76
visually_embodied,presenter_talking,0.0,0.0,0.0
visually_embodied,screen_or_software,2.3,2.1,0.2
visually_embodied,slide_or_powerpoint,1.97,2.45,-0.47
