subgroup,content_type,top_25_pct,bottom_25_pct,difference
conventional,hands_on_demonstration,4.77,6.08,-1.31
conventional,equipment_closeup,5.51,10.85,-5.34
conventional,presenter_talking,25.14,22.1,3.04
conventional,slide_or_powerpoint,18.08,16.84,1.23
conventional,diagram_or_whiteboard,34.26,22.35,11.91
conventional,screen_or_software,2.38,9.86,-7.48
conventional,animation_or_graphic,7.64,6.24,1.4
conventional,device_in_operation,1.56,4.93,-3.37
conventional,other,0.66,0.74,-0.08
verbally_embodied,hands_on_demonstration,40.4,12.86,27.54
verbally_embodied,equipment_closeup,12.06,9.15,2.91
verbally_embodied,presenter_talking,13.67,13.47,0.2
verbally_embodied,slide_or_powerpoint,8.54,8.94,-0.4
verbally_embodied,diagram_or_whiteboard,6.43,7.94,-1.51
verbally_embodied,screen_or_software,11.46,33.17,-21.71
verbally_embodied,animation_or_graphic,1.61,2.31,-0.7
verbally_embodied,device_in_operation,5.43,10.35,-4.92
verbally_embodied,other,0.4,1.81,-1.41
visually_embodied,hands_on_demonstration,68.18,67.83,0.35
visually_embodied,equipment_closeup,16.43,18.53,-2.1
visually_embodied,slide_or_powerpoint,1.4,1.4,0.0
visually_embodied,diagram_or_whiteboard,1.05,0.35,0.7
visually_embodied,screen_or_software,4.9,2.1,2.8
visually_embodied,animation_or_graphic,0.7,1.4,-0.7
visually_embodied,device_in_operation,5.24,5.59,-0.35
visually_embodied,other,2.1,2.8,-0.7
