video_id,subgroup,mean_visual_avg_score,mean_visual_pct_correlated,total_segments,pct_hands_on
-AKD2Lv7XqI,conventional,37.86,41.67,44,4.55
-qCO7NUpLc0,visually_embodied,73.67,80.61,49,77.55
09c4bdKM5Kw,verbally_embodied,33.72,38.07,88,25.0
0Mu2L9z1MH8,conventional,43.18,47.73,44,63.64
15cdyl2PU-E,verbally_embodied,17.32,18.29,41,46.34
1WYDsiYJGoQ,conventional,33.84,36.55,132,0.0
2_y_3_3V-so,conventional,72.62,80.95,21,0.0
31ArBvYoG2Q,verbally_embodied,80.68,86.06,165,85.45
35YuILUlfGs,verbally_embodied,37.91,41.79,67,4.48
3cFSNRG2xfA,verbally_embodied,87.38,93.75,16,68.75
3dQjIeYoIdM,verbally_embodied,43.3,48.61,48,12.5
3xe-g35SmEY,conventional,36.09,39.06,64,9.38
408qlS2z6ys,conventional,56.15,61.18,85,10.59
4ObzEft2R_g,conventional,53.55,57.5,40,12.5
4dmrahCJonM,conventional,51.73,55.88,136,3.68
56p3_aORiJ0,verbally_embodied,66.68,72.34,122,0.0
7JH1_ZKV7t4,verbally_embodied,5.19,5.77,52,13.46
8YPX1gZGyJg,conventional,46.43,50.0,34,11.76
9fFjlxUUQZg,verbally_embodied,46.32,51.22,41,46.34
9fYzb1g8tzw,verbally_embodied,22.92,24.62,65,12.31
ACvQNJwZSPg,visually_embodied,40.98,45.45,33,87.88
AN3yxIBAxTA,verbally_embodied,53.58,57.14,98,23.47
AOf-i2vLd2o,conventional,42.32,46.8,125,0.0
AmlmkTPqZrk,conventional,53.93,57.14,14,0.0
AoJDIy52y7g,conventional,44.68,48.68,63,3.17
BYvTEfNAi38,conventional,77.04,82.72,81,0.0
CAYKno16weE,verbally_embodied,55.15,59.56,65,49.23
CvMDlG_AF3Q,visually_embodied,68.83,74.85,57,71.93
DOWDNBu9DkU,verbally_embodied,7.44,7.75,129,8.53
DQOt-m7rg80,verbally_embodied,89.09,94.44,54,27.78
DeSDjjicGWY,verbally_embodied,20.25,21.88,96,10.42
DkbfBIMSdgo,verbally_embodied,74.36,82.05,39,58.97
ERLMO-nay30,visually_embodied,66.57,74.29,35,42.86
E_RDCFOlJx4,conventional,34.81,37.46,105,0.0
EdUAecpYVWQ,conventional,75.63,82.11,95,0.0
