video_id,subgroup,mean_visual_score,mean_transcript_score,mean_union_score,mean_visual_pct,mean_transcript_pct,total_segments,pct_hands_on
-AKD2Lv7XqI,conventional,37.8636,17.1818,42.5606,41.6667,19.697,44,4.5455
-qCO7NUpLc0,visually_embodied,73.6735,0.0,73.6735,80.6122,0.0,49,77.551
09c4bdKM5Kw,verbally_embodied,33.7159,3.8068,35.7614,38.0682,3.9773,88,25.0
0Mu2L9z1MH8,conventional,43.1818,5.0,47.2727,47.7273,4.5455,44,63.6364
15cdyl2PU-E,verbally_embodied,17.3171,13.378,27.1585,18.2927,14.6341,41,46.3415
1WYDsiYJGoQ,conventional,33.8352,7.1345,35.8902,36.553,7.9545,132,0.0
2_y_3_3V-so,conventional,72.619,20.0952,73.1905,80.9524,23.8095,21,0.0
31ArBvYoG2Q,verbally_embodied,80.6848,24.1091,83.0909,86.0606,27.8788,165,85.4545
35YuILUlfGs,verbally_embodied,37.9104,5.3731,40.6716,41.791,5.9701,67,4.4776
3cFSNRG2xfA,verbally_embodied,87.375,70.25,89.375,93.75,75.0,16,68.75
3dQjIeYoIdM,verbally_embodied,43.2986,8.0069,44.5833,48.6111,13.1944,48,12.5
3xe-g35SmEY,conventional,36.0938,15.2344,42.8125,39.0625,17.1875,64,9.375
408qlS2z6ys,conventional,56.1471,18.5118,60.3294,61.1765,22.3529,85,10.5882
4ObzEft2R_g,conventional,53.55,34.385,60.9,57.5,40.0,40,12.5
4dmrahCJonM,conventional,51.7279,21.1691,59.6618,55.8824,23.5294,136,3.6765
56p3_aORiJ0,verbally_embodied,66.6783,32.3463,71.8238,72.3361,37.7049,122,0.0
7JH1_ZKV7t4,verbally_embodied,5.1923,11.5385,16.7308,5.7692,13.4615,52,13.4615
8YPX1gZGyJg,conventional,46.4265,15.25,47.9265,50.0,16.1765,34,11.7647
9fFjlxUUQZg,verbally_embodied,46.3171,18.8415,54.7317,51.2195,20.7317,41,46.3415
9fYzb1g8tzw,verbally_embodied,22.9231,3.4308,25.0,24.6154,3.0769,65,12.3077
ACvQNJwZSPg,visually_embodied,40.9848,0.0,40.9848,45.4545,0.0,33,87.8788
AN3yxIBAxTA,verbally_embodied,53.5816,45.5306,72.2551,57.1429,51.0204,98,23.4694
AOf-i2vLd2o,conventional,42.32,33.334,54.836,46.8,37.2,125,0.0
AmlmkTPqZrk,conventional,53.9286,41.6429,78.0714,57.1429,50.0,14,0.0
AoJDIy52y7g,conventional,44.6825,18.6878,50.2169,48.6772,23.8095,63,3.1746
BYvTEfNAi38,conventional,77.037,42.1358,81.7284,82.716,45.679,81,0.0
CAYKno16weE,verbally_embodied,55.1538,26.4418,58.1802,59.5604,29.8901,65,49.2308
CvMDlG_AF3Q,visually_embodied,68.8304,0.0,68.8304,74.8538,0.0,57,71.9298
