-qCO7NUpLc0
https://www.youtube.com/watch?v=-qCO7NUpLc0
Unknown Category

[00:00:00.000 → 00:00:02.000] And
[00:00:02.000 → 00:00:04.000] and
[00:00:32.000 → 00:01:01.980] Thank you.
[00:01:02.000 → 00:01:31.980] Thank you.
[00:01:32.000 → 00:02:01.980] Thank you.
[00:02:02.000 → 00:02:31.980] Thank you.
[00:02:32.000 → 00:03:01.980] Thank you.
[00:03:02.000 → 00:03:31.980] Thank you.
[00:03:32.000 → 00:04:01.980] Thank you.
[00:04:02.000 → 00:04:31.980] Thank you.
[00:04:32.000 → 00:05:01.980] Thank you.
[00:05:02.000 → 00:05:31.980] Thank you.
[00:05:32.000 → 00:06:01.980] Thank you.
[00:06:02.000 → 00:06:31.980] Thank you.
[00:06:32.000 → 00:07:01.980] Thank you.
[00:07:02.000 → 00:07:31.980] Thank you.
[00:07:32.000 → 00:08:01.980] Thank you.
