video_id,label,keypoint_count,avg_strength_score,max_strength_score,keypoints_reinforced_at_end,embodied_total,embodied_visual_reference,embodied_action_narration,embodied_sensory,embodied_procedural,verbal_embodied_richness,parse_success
-AKD2Lv7XqI,conventional,3,3.0,4,1,15,8,7,0,0,medium,1
0Mu2L9z1MH8,conventional,3,3.0,4,0,9,3,2,1,3,medium,1
1WYDsiYJGoQ,conventional,5,3.8,4,5,13,4,5,2,1,medium,1
2_y_3_3V-so,conventional,2,3.5,4,0,6,4,0,0,2,low,1
3xe-g35SmEY,conventional,3,3.67,4,2,11,4,7,0,0,medium,1
408qlS2z6ys,conventional,3,3.67,4,1,16,12,4,0,0,medium,1
4ObzEft2R_g,conventional,3,3.33,4,0,7,3,2,0,1,medium,1
4dmrahCJonM,conventional,5,3.4,4,2,6,2,4,0,0,low,1
8YPX1gZGyJg,conventional,2,3.5,4,0,10,2,5,1,2,medium,1
AOf-i2vLd2o,conventional,3,3.33,4,0,16,12,1,0,3,medium,1
AmlmkTPqZrk,conventional,2,3.0,3,0,4,2,0,0,1,low,1
AoJDIy52y7g,conventional,3,3.67,4,0,10,3,4,3,0,medium,1
BYvTEfNAi38,conventional,3,4.33,5,3,17,10,7,0,0,medium,1
E_RDCFOlJx4,conventional,2,4.5,5,2,11,5,4,1,1,medium,1
EdUAecpYVWQ,conventional,5,3.2,4,1,25,17,2,0,1,medium,1
FXSpHy8LvmY,conventional,3,4.33,5,1,6,3,2,0,1,low,1
GrvvkYTW_0k,conventional,3,3.33,4,2,9,3,5,0,1,medium,1
ILeLo1lWjBk,conventional,4,3.25,4,0,46,20,15,3,8,medium,1
IiilGiJZDsI,conventional,6,2.5,3,0,6,3,0,0,3,low,1
KKjHZpNMeik,conventional,3,4.0,5,2,4,1,2,0,1,low,1
L0QraSYq8tw,conventional,2,3.5,4,0,4,3,1,0,0,low,1
MEHVDGUP2Co,conventional,4,3.25,4,1,0,0,0,0,0,none,1
OBM5T5_kgdI,conventional,3,4.0,5,1,21,7,10,2,2,medium,1
PS_p3O9q4YI,conventional,3,3.33,4,0,4,4,0,0,0,low,1
PlKeFj5teo4,conventional,3,3.67,4,2,3,2,1,0,0,low,1
RiRyzLl4Y8U,conventional,3,3.33,4,0,9,5,3,0,1,medium,1
Sd6CcsCgFbg,conventional,5,4.0,5,2,31,25,6,1,0,medium,1
URj7TorDHmQ,conventional,3,3.33,4,2,6,4,1,0,1,low,1
UrCFv2qCELI,conventional,3,3.33,4,3,11,7,4,0,0,medium,1
WoxDbIbpP_Q,conventional,4,3.5,4,0,25,11,7,4,3,medium,1
XRsJRqipSx8,conventional,3,3.67,5,2,5,2,1,0,1,low,1
_VzHpLjKeZ8,conventional,4,4.25,5,3,18,6,8,0,4,medium,1
aXTtu4n37WI,conventional,3,3.33,4,0,20,11,4,0,5,medium,1
aqfyRUVSq9I,conventional,5,3.8,5,4,9,4,1,1,1,medium,1
btOIDQeMrMg,conventional,3,3.67,4,3,3,3,0,0,0,low,1
dQeNONerxEU,conventional,4,3.75,4,1,21,8,10,0,3,medium,1
dmPIydL0lyM,conventional,2,4.5,5,2,8,7,0,0,1,low,1
ewYBc1jBDGM,conventional,3,4.0,4,0,10,6,1,1,1,medium,1
hpeKrMG-WP0,conventional,3,4.0,5,1,4,2,1,0,0,low,1
iKZ05QIN8mc,conventional,3,4.0,5,3,20,11,6,0,3,medium,1
jhvXWpRmhvM,conventional,3,3.0,3,0,4,2,1,1,0,low,1
lAVYDUeqdW4,conventional,3,3.33,4,0,5,5,0,0,0,low,1
lBC1nEq0_nk,conventional,5,3.6,5,4,6,2,3,1,0,low,1
lBGE5lwbruE,conventional,3,4.0,5,3,9,4,3,0,1,medium,1
n3TeLpbw_jk,conventional,6,3.67,4,4,23,8,2,7,6,high,1
nxKkM4bXPFI,conventional,4,3.75,5,0,19,10,4,2,3,medium,1
sL0LtyfNYkM,conventional,2,3.5,4,1,11,5,5,0,1,medium,1
t1Q9_PlN4GU,conventional,4,3.0,4,0,2,2,0,0,0,low,1
tFVAaUcOm4I,conventional,5,3.2,4,1,21,3,9,0,9,medium,1
taSlxgvvrBM,conventional,3,3.33,4,0,3,0,2,1,0,low,1
uwDajwnP2XE,conventional,3,3.0,4,1,8,7,0,1,0,low,1
wEevt2a4SKI,conventional,5,3.8,5,3,25,10,6,4,5,medium,1
wKyt5ssrDQ8,conventional,1,4.0,4,0,8,7,1,0,0,low,1
yctzuuGAm-E,conventional,3,4.33,5,1,13,11,2,0,0,low,1
zUyj7Xn9-sk,conventional,1,1.0,1,0,0,0,0,0,0,none,1
zt7YAna-Qcc,conventional,3,4.0,5,2,16,13,2,1,0,medium,1
