video_id,label,keypoint_count,avg_strength_score,max_strength_score,keypoints_reinforced_at_end,embodied_total,embodied_visual_reference,embodied_action_narration,embodied_sensory,embodied_procedural,verbal_embodied_richness,parse_success
-qCO7NUpLc0,embodied,0,,,,0,0,0,0,0,none,1
09c4bdKM5Kw,embodied,3,3.67,4,0,18,6,8,0,4,medium,1
15cdyl2PU-E,embodied,2,4.0,4,2,15,4,8,0,3,medium,1
31ArBvYoG2Q,embodied,3,4.0,5,3,14,6,4,1,3,medium,1
35YuILUlfGs,embodied,4,4.0,5,0,15,6,6,1,2,medium,1
3cFSNRG2xfA,embodied,2,3.5,4,2,7,2,3,0,2,medium,1
3dQjIeYoIdM,embodied,2,3.5,4,1,6,3,3,0,0,low,1
56p3_aORiJ0,embodied,4,3.75,5,1,4,2,1,0,1,low,1
7JH1_ZKV7t4,embodied,3,3.67,5,2,6,3,0,1,2,low,1
9fFjlxUUQZg,embodied,2,3.5,4,1,9,1,5,1,2,medium,1
9fYzb1g8tzw,embodied,3,3.33,4,2,9,4,5,0,0,low,1
ACvQNJwZSPg,embodied,0,,,,0,0,0,0,0,none,1
AN3yxIBAxTA,embodied,2,4.0,5,1,6,2,2,0,2,low,1
CAYKno16weE,embodied,4,3.5,4,0,6,2,2,1,1,medium,1
CvMDlG_AF3Q,embodied,0,,,,0,0,0,0,0,none,1
DOWDNBu9DkU,embodied,2,4.5,5,2,4,1,1,1,1,low,1
DQOt-m7rg80,embodied,3,3.33,4,0,6,2,1,0,2,low,1
DeSDjjicGWY,embodied,3,3.67,4,1,7,3,1,1,2,medium,1
DkbfBIMSdgo,embodied,3,3.33,4,1,7,2,2,1,2,medium,1
ERLMO-nay30,embodied,1,3.0,3,0,2,1,1,0,0,low,1
FNG9f2qJdWk,embodied,0,,,,0,0,0,0,0,none,1
GbdF6th5PZk,embodied,2,2.5,3,0,0,0,0,0,0,none,1
Gpm-TI21x9s,embodied,3,3.33,4,1,20,7,7,0,6,medium,1
GqCn94Ksdbo,embodied,2,4.5,5,2,20,9,6,0,5,medium,1
HWMq1WjvgfE,embodied,2,3.5,4,1,15,5,5,3,2,medium,1
K4aI2t5T00c,embodied,0,,,,0,0,0,0,0,none,1
KDwqqlqdYFQ,embodied,2,3.0,3,0,6,2,4,0,0,low,1
LYJDlz5w77Y,embodied,3,3.67,4,1,29,3,16,0,10,medium,1
N5DbiWFjbh8,embodied,4,3.75,5,2,12,4,8,1,0,medium,1
NQvVeLHzfSs,embodied,2,3.0,3,0,3,2,1,0,0,low,1
P4GsoMTv-SY,embodied,3,3.67,4,2,21,13,5,1,2,medium,1
PWyqVEkZGWk,embodied,3,3.67,4,2,5,1,2,1,1,low,1
PfFkm0Kgkn0,embodied,0,,,,0,0,0,0,0,none,1
R2UqeJbK2yc,embodied,0,,,,0,0,0,0,0,none,1
S0j4xOuRzD4,embodied,4,3.25,4,2,8,3,5,0,0,medium,1
U5cqrrhq9TA,embodied,3,3.67,5,2,16,12,4,0,2,medium,1
WoHjWZFTnpQ,embodied,4,3.5,4,0,34,1,27,0,6,medium,1
WpE4mQegNLgESP32,embodied,4,3.0,4,1,30,10,12,0,8,medium,1
YIAQ80evrFM,embodied,0,,,,0,0,0,0,0,none,1
YQ8ZhHBraZg,embodied,4,3.75,5,4,8,4,4,0,0,medium,1
YQeOmeMGpvE,embodied,3,4.0,5,2,6,1,3,1,1,medium,1
ZOuZWE_tfgQ,embodied,3,3.0,4,0,12,1,5,4,2,medium,1
_HHxV-7alwE,embodied,5,3.6,5,1,17,6,11,0,0,medium,1
a3wDEcORRR4,embodied,4,3.5,4,2,13,5,5,0,3,medium,1
cggDZE7gZNw,embodied,0,,,,0,0,0,0,0,none,1
dKB7uHYU-ow,embodied,0,,,,0,0,0,0,0,none,1
dV8rpGUoxns,embodied,2,4.5,5,2,8,3,4,1,0,medium,1
fcmXG3wB_1M,embodied,2,2.0,2,0,3,0,2,1,0,low,1
gdJHi9I0V4w,embodied,0,,,,0,0,0,0,0,none,1
h50JwrVl2nQ,embodied,0,,,,0,0,0,0,0,none,1
hRnofMxEf3Q,embodied,3,4.0,5,2,20,10,6,0,4,medium,1
hnPi6i8Ua1M,embodied,2,3.5,4,1,11,2,8,1,0,medium,1
jLXW6qVdfq4,embodied,0,,,,0,0,0,0,0,none,1
lV6zevUF-v0,embodied,3,3.33,4,0,18,1,8,6,3,high,1
lWgYgef-hQ8,embodied,0,,,,0,0,0,0,0,none,1
mcAMNsmT6uE,embodied,0,,,,0,0,0,0,0,none,1
muGlauyfOGsT,embodied,0,,,,0,0,0,0,0,none,1
nxMkX0wtLm4,embodied,0,,,,0,0,0,0,0,none,1
qNLvoSQCx60,embodied,2,4.0,5,1,6,1,4,1,0,low,1
r0kBl1__VEQ,embodied,2,4.0,4,0,11,5,5,0,1,medium,1
raTtiqWOFW8,embodied,0,,,,0,0,0,0,0,none,1
re-dSV_a0tM,embodied,4,3.5,4,2,15,2,11,2,0,medium,1
rw3I118gQa8,embodied,0,,,,0,0,0,0,0,none,1
s0dNRe0XWJ8,embodied,3,3.67,4,0,20,9,8,3,1,medium,1
sF0KOVWj9p8,embodied,3,4.0,5,2,16,5,10,0,1,medium,1
sHwSIcIdeDI,embodied,0,,,,0,0,0,0,0,none,1
sI5Ftm1-jik,embodied,3,3.33,4,3,13,4,6,3,0,medium,1
t4LPzGIr41c,embodied,3,3.67,4,0,11,5,5,1,0,medium,1
u40kX1DYKdA,embodied,2,4.5,5,1,14,4,8,1,1,medium,1
w49SSxiPK_Q,embodied,0,,,,0,0,0,0,0,none,1
wmTlM5s2xTY,embodied,5,3.0,3,0,32,10,11,0,11,medium,1
yPwYNUDkkZs,embodied,3,3.67,5,1,6,3,1,0,1,low,1
z58RORCUTao,embodied,2,4.0,5,1,6,4,2,0,0,low,1
zZE4AejgDOA,embodied,0,,,,0,0,0,0,0,none,1
