video_id,label,subgroup,corr_avg,transcript_words,words_per_min,speech_ratio,hallucination_flag,keypoint_count,avg_strength_score,max_strength_score,embodied_total,embodied_phrase_rate,visual_reference,action_narration,sensory_description,procedural_instruction,verbal_richness,parse_success
-AKD2Lv7XqI,conventional,conventional,66.71345029239767,927,139.3,0.9613,0,3,3.0,4,15,16.18,8,7,0,0,medium,1
0Mu2L9z1MH8,conventional,conventional,53.89850746268657,1171,164.5,1.0,0,3,3.0,4,9,7.69,3,2,1,3,medium,1
1WYDsiYJGoQ,conventional,conventional,33.005780346820806,4334,211.5,0.9354,0,5,3.8,4,13,3.0,4,5,2,1,medium,1
2_y_3_3V-so,conventional,conventional,66.67045454545455,547,160.8,0.9961,0,2,3.5,4,6,10.97,4,0,0,2,low,1
3xe-g35SmEY,conventional,conventional,31.292079207920793,1651,166.9,0.9393,0,3,3.67,4,11,6.66,4,7,0,0,medium,1
408qlS2z6ys,conventional,conventional,61.22255192878338,1713,138.4,0.8969,0,3,3.67,4,16,9.34,12,4,0,0,medium,1
4ObzEft2R_g,conventional,conventional,62.860975609756096,1303,201.3,0.9784,0,3,3.33,4,7,5.37,3,2,0,1,medium,1
4dmrahCJonM,conventional,conventional,78.06060606060606,4257,189.9,0.9929,0,5,3.4,4,6,1.41,2,4,0,0,low,1
8YPX1gZGyJg,conventional,conventional,70.398,620,123.7,0.9822,0,2,3.5,4,10,16.13,2,5,1,2,medium,1
AOf-i2vLd2o,conventional,conventional,66.191,2455,126.7,0.9407,0,3,3.33,4,16,6.52,12,1,0,3,medium,1
AmlmkTPqZrk,conventional,conventional,57.98360655737705,349,165.1,0.8807,0,2,3.0,3,4,11.46,2,0,0,1,low,1
AoJDIy52y7g,conventional,conventional,60.57861635220126,1343,134.5,0.9243,0,3,3.67,4,10,7.45,3,4,3,0,medium,1
BYvTEfNAi38,conventional,conventional,86.81297709923665,2599,214.2,0.9,0,3,4.33,5,17,6.54,10,7,0,0,medium,1
E_RDCFOlJx4,conventional,conventional,65.80924287118977,3239,188.1,0.9898,0,2,4.5,5,11,3.4,5,4,1,1,medium,1
EdUAecpYVWQ,conventional,conventional,42.30789473684211,2839,181.1,0.9939,0,5,3.2,4,25,8.81,17,2,0,1,medium,1
FXSpHy8LvmY,conventional,conventional,79.13513513513513,2677,178.9,1.0,0,3,4.33,5,6,2.24,3,2,0,1,low,1
GrvvkYTW_0k,conventional,conventional,48.56295576081672,1226,175.7,0.8988,0,3,3.33,4,9,7.34,3,5,0,1,medium,1
ILeLo1lWjBk,conventional,conventional,31.157225433526012,3236,205.4,0.8825,0,4,3.25,4,46,14.22,20,15,3,8,medium,1
IiilGiJZDsI,conventional,conventional,35.28624535315985,1724,157.7,0.9987,0,6,2.5,3,6,3.48,3,0,0,3,low,1
KKjHZpNMeik,conventional,conventional,69.25,1015,136.0,0.88,0,3,4.0,5,4,3.94,1,2,0,1,low,1
L0QraSYq8tw,conventional,conventional,62.5328947368421,834,146.7,0.9151,0,2,4.0,5,7,8.39,5,2,0,0,low,1
MEHVDGUP2Co,conventional,conventional,35.46220930232558,590,168.9,0.997,0,4,3.5,5,0,0.0,0,0,0,0,none,1
OBM5T5_kgdI,conventional,conventional,70.55016181229773,1542,193.0,0.9354,0,3,4.0,5,21,13.62,7,10,2,2,medium,1
PS_p3O9q4YI,conventional,conventional,27.37524557956778,2658,147.5,0.8581,0,4,3.5,4,11,4.14,5,3,3,0,medium,1
PlKeFj5teo4,conventional,conventional,71.34848484848484,1318,213.4,0.8469,0,3,3.67,4,5,3.79,4,1,0,0,low,1
RiRyzLl4Y8U,conventional,conventional,81.51818181818182,2724,154.4,0.9295,0,4,3.5,4,45,16.52,25,9,0,11,medium,1
Sd6CcsCgFbg,conventional,conventional,59.00645161290323,6293,164.6,0.9904,0,5,4.0,5,31,4.93,25,6,1,0,medium,1
URj7TorDHmQ,conventional,conventional,77.96350364963503,1816,165.4,0.9846,0,3,3.33,4,5,2.75,3,0,1,1,low,1
UrCFv2qCELI,conventional,conventional,42.87043189368771,1748,163.4,0.8611,0,3,3.67,4,14,8.01,8,6,0,0,medium,1
WoxDbIbpP_Q,conventional,conventional,55.2093435836783,6081,181.3,0.9541,0,4,3.5,4,30,4.93,22,4,2,2,medium,1
XRsJRqipSx8,conventional,conventional,80.03703703703704,2436,134.8,1.0,0,3,3.67,5,5,2.05,2,1,0,1,low,1
_VzHpLjKeZ8,conventional,conventional,75.00505263157895,9386,199.2,0.956,0,4,4.25,5,18,1.92,6,8,0,4,medium,1
aXTtu4n37WI,conventional,conventional,77.75968992248062,3800,195.6,0.9084,0,3,3.33,4,20,5.26,11,4,0,5,medium,1
aqfyRUVSq9I,conventional,conventional,68.05115511551155,3035,200.8,0.9789,0,5,3.8,5,9,2.97,4,1,1,1,medium,1
btOIDQeMrMg,conventional,conventional,34.65979381443299,967,193.5,0.9923,0,3,3.67,4,3,3.1,3,0,0,0,low,1
dQeNONerxEU,conventional,conventional,69.6294363256785,4897,205.2,0.9707,0,4,3.75,4,21,4.29,8,10,0,3,medium,1
dmPIydL0lyM,conventional,conventional,70.52365930599369,2228,167.4,1.0,0,2,4.5,5,8,3.59,7,0,0,1,low,1
ewYBc1jBDGM,conventional,conventional,62.02398081534772,2611,154.0,0.9882,0,3,4.0,4,10,3.83,6,1,1,1,medium,1
hpeKrMG-WP0,conventional,conventional,86.3040293040293,2734,192.9,0.9983,0,3,4.0,5,4,1.46,2,1,0,0,low,1
iKZ05QIN8mc,conventional,conventional,61.67496050552923,4729,149.2,0.8856,0,3,4.0,5,20,4.23,11,6,0,3,medium,1
jhvXWpRmhvM,conventional,conventional,29.8,987,164.4,1.0,0,3,3.0,3,4,4.05,2,1,1,0,low,1
lAVYDUeqdW4,conventional,conventional,81.828125,678,137.9,0.9414,0,3,3.33,4,5,7.37,5,0,0,0,low,1
lBC1nEq0_nk,conventional,conventional,84.01132686084142,2762,186.0,0.9212,0,5,3.6,5,6,2.17,2,3,1,0,low,1
lBGE5lwbruE,conventional,conventional,73.84200743494424,1633,124.8,0.9938,0,3,4.0,5,9,5.51,4,3,0,1,medium,1
n3TeLpbw_jk,conventional,conventional,22.849236641221374,4584,231.2,0.9123,0,6,3.67,4,23,5.02,8,2,7,6,high,1
nxKkM4bXPFI,conventional,conventional,31.07379134860051,1483,182.5,1.0,0,4,3.75,5,19,12.81,10,4,2,3,medium,1
sL0LtyfNYkM,conventional,conventional,88.23961661341853,1957,120.0,1.0,0,2,3.5,4,11,5.62,5,5,0,1,medium,1
t1Q9_PlN4GU,conventional,conventional,81.46987951807229,502,142.7,1.0,0,4,3.0,4,2,3.98,2,0,0,0,low,1
tFVAaUcOm4I,conventional,conventional,43.020332717190385,3899,191.3,0.9136,0,5,3.2,4,21,5.39,3,9,0,9,medium,1
taSlxgvvrBM,conventional,conventional,89.22222222222223,859,188.1,1.0,0,3,3.33,4,3,3.49,0,2,1,0,low,1
uwDajwnP2XE,conventional,conventional,76.97385620915033,1497,185.8,1.0,0,3,3.0,4,8,5.34,7,0,1,0,low,1
wEevt2a4SKI,conventional,conventional,60.387710947641715,17301,184.8,0.9739,0,5,3.8,5,25,1.45,10,6,4,5,medium,1
wKyt5ssrDQ8,conventional,conventional,69.21100917431193,800,199.3,0.931,0,1,4.0,4,8,10.0,7,1,0,0,low,1
yctzuuGAm-E,conventional,conventional,37.97344228804903,5031,134.6,0.9222,0,3,4.33,5,13,2.58,11,2,0,0,low,1
zUyj7Xn9-sk,conventional,conventional,88.37837837837837,80,25.0,0.8344,1,1,1.0,1,0,0.0,0,0,0,0,none,1
zt7YAna-Qcc,conventional,conventional,33.98432601880878,1960,127.8,0.9798,0,3,4.0,5,16,8.16,13,2,1,0,medium,1
-qCO7NUpLc0,embodied,visually_embodied,0.0,42,5.6,0.9469,1,0,0.0,0,0,0.0,0,0,0,0,none,1
09c4bdKM5Kw,embodied,verbally_embodied,31.5,3309,248.6,0.9118,0,3,3.67,4,18,5.44,6,8,0,4,medium,1
15cdyl2PU-E,embodied,verbally_embodied,68.125,1270,190.0,0.9355,0,2,4.0,4,15,11.81,4,8,0,3,medium,1
31ArBvYoG2Q,embodied,verbally_embodied,81.66666666666667,6512,262.0,0.9049,0,3,4.0,5,14,2.15,6,4,1,3,medium,1
35YuILUlfGs,embodied,verbally_embodied,67.5,1675,166.9,0.9058,0,4,4.0,5,15,8.96,6,6,1,2,medium,1
3cFSNRG2xfA,embodied,verbally_embodied,90.0,378,153.1,0.975,0,2,3.5,4,7,18.52,2,3,0,2,medium,1
3dQjIeYoIdM,embodied,verbally_embodied,,1165,146.5,0.996,0,2,3.5,4,6,5.15,3,3,0,0,low,1
56p3_aORiJ0,embodied,verbally_embodied,66.875,3331,164.8,1.0,0,4,3.75,5,4,1.2,2,1,0,1,low,1
7JH1_ZKV7t4,embodied,verbally_embodied,10.0,1696,198.5,0.979,0,3,3.67,5,6,3.54,3,0,1,2,low,1
9fFjlxUUQZg,embodied,verbally_embodied,,679,112.9,0.8636,0,2,3.5,4,9,13.25,1,5,1,2,medium,1
9fYzb1g8tzw,embodied,verbally_embodied,26.666666666666668,2180,206.5,0.9713,0,3,3.33,4,9,4.13,4,5,0,0,low,1
ACvQNJwZSPg,embodied,visually_embodied,,34,6.3,0.9776,1,0,0.0,0,0,0.0,0,0,0,0,none,1
AN3yxIBAxTA,embodied,verbally_embodied,81.25,2493,190.9,0.7963,0,2,4.0,5,6,2.41,2,2,0,2,low,1
CAYKno16weE,embodied,verbally_embodied,32.142857142857146,1839,185.0,0.9176,0,4,3.5,4,6,3.26,2,2,1,1,medium,1
CvMDlG_AF3Q,embodied,visually_embodied,6.666666666666667,67,7.1,0.9999,1,0,0.0,0,0,0.0,0,0,0,0,none,1
DOWDNBu9DkU,embodied,verbally_embodied,10.0,4505,233.1,0.898,0,2,4.5,5,4,0.89,1,1,1,1,low,1
DQOt-m7rg80,embodied,verbally_embodied,50.0,1318,149.2,0.9969,0,3,3.33,4,6,4.55,2,1,0,2,low,1
DeSDjjicGWY,embodied,verbally_embodied,78.57142857142857,2439,159.8,0.9595,0,3,3.67,4,7,2.87,3,1,1,2,medium,1
DkbfBIMSdgo,embodied,verbally_embodied,44.0,1010,158.9,0.9911,0,3,3.33,4,7,6.93,2,2,1,2,medium,1
ERLMO-nay30,embodied,visually_embodied,15.0,128,25.7,0.8698,1,1,3.0,3,2,15.62,1,1,0,0,low,1
FNG9f2qJdWk,embodied,visually_embodied,45.0,142,29.4,0.8495,1,0,0.0,0,0,0.0,0,0,0,0,none,1
GbdF6th5PZk,embodied,visually_embodied,9.166666666666666,209,38.2,0.6761,0,2,2.5,3,0,0.0,0,0,0,0,none,1
