bin_index,bin_label,conventional_density,verbally_embodied_density,visually_embodied_density,conventional_n,verbally_embodied_n,visually_embodied_n
0,0-10%,0.1014,0.1146,0.0,54,48,3
1,10-20%,0.0992,0.1306,0.2437,54,48,3
2,20-30%,0.0964,0.0851,0.0108,54,48,3
3,30-40%,0.0863,0.1037,0.0,54,48,3
4,40-50%,0.0956,0.1357,0.1326,54,48,3
5,50-60%,0.1307,0.1089,0.0323,54,48,3
6,60-70%,0.091,0.0892,0.0645,54,48,3
7,70-80%,0.1073,0.0983,0.043,54,48,3
8,80-90%,0.1047,0.075,0.3978,54,48,3
9,90-100%,0.0873,0.0589,0.0753,54,48,3
