video_id,frames,topics,comments,corr_avg,corr_median,corr_n,corr_n_ge_60,transcript_words,duration_s
-AKD2Lv7XqI,125,4,3,41.25,20.0,12,4,927,415.428209
0Mu2L9z1MH8,247,5,1,56.0,80.0,5,3,1171,411.805896
1WYDsiYJGoQ,394,6,4,54.375,80.0,24,14,4334,1314.342313
2_y_3_3V-so,62,6,1,85.0,85.0,6,6,547,204.93932
3xe-g35SmEY,152,0,0,,,0,0,1651,632.023946
408qlS2z6ys,249,5,2,33.0,20.0,10,3,1713,828.070023
4ObzEft2R_g,119,6,5,44.833333333333336,20.0,30,12,1303,396.991565
4dmrahCJonM,339,10,1,58.5,80.0,10,6,4257,1354.861134
8YPX1gZGyJg,184,5,2,79.0,85.0,10,9,620,306.271202
AOf-i2vLd2o,371,6,4,76.875,80.0,24,22,2455,1236.207166
AmlmkTPqZrk,44,3,1,85.0,85.0,3,3,349,144.079819
AoJDIy52y7g,195,5,3,29.666666666666668,20.0,15,3,1343,648.301134
BYvTEfNAi38,194,4,1,72.5,90.0,4,3,2599,809.12254
E_RDCFOlJx4,251,5,3,83.0,90.0,15,14,3239,1043.690522
EdUAecpYVWQ,284,2,1,20.0,20.0,2,0,2839,946.631111
FXSpHy8LvmY,215,10,1,87.5,87.5,10,10,2677,894.479093
GrvvkYTW_0k,140,1,11,35.45454545454545,20.0,11,3,1226,465.81551
ILeLo1lWjBk,643,8,1,22.5,0.0,8,2,3236,1071.368707
IiilGiJZDsI,198,5,1,14.0,20.0,5,0,1724,656.822857
KKjHZpNMeik,153,4,1,83.75,82.5,4,4,1015,508.981406
L0QraSYq8tw,112,3,2,80.0,80.0,6,6,834,372.912472
MEHVDGUP2Co,127,3,1,18.333333333333332,20.0,6,0,590,210.233469
OBM5T5_kgdI,154,1,3,85.0,85.0,3,3,1542,512.580499
PS_p3O9q4YI,378,5,1,12.0,20.0,5,0,2658,1259.868299
PlKeFj5teo4,44,8,1,36.25,20.0,8,3,1318,437.6
RiRyzLl4Y8U,285,5,6,34.666666666666664,20.0,30,9,2724,1138.776236
Sd6CcsCgFbg,232,1,1,20.0,20.0,1,0,6293,2315.8
URj7TorDHmQ,201,6,1,60.833333333333336,80.0,6,4,1816,669.175873
UrCFv2qCELI,224,3,1,80.0,80.0,3,3,1748,745.337324
WoxDbIbpP_Q,1266,3,3,51.111111111111114,20.0,9,4,6081,2109.57932
XRsJRqipSx8,260,5,1,26.0,20.0,5,1,2436,1082.839365
_VzHpLjKeZ8,1773,11,2,87.5,90.0,22,22,9386,2957.363084
aXTtu4n37WI,385,3,2,38.333333333333336,20.0,6,2,3800,1283.343673
aqfyRUVSq9I,223,6,2,59.166666666666664,80.0,12,8,3035,926.47619
btOIDQeMrMg,73,0,0,,,0,0,967,302.18449
dQeNONerxEU,354,7,2,55.0,80.0,14,8,4897,1474.908299
dmPIydL0lyM,233,7,2,30.714285714285715,20.0,14,3,2228,775.291066
ewYBc1jBDGM,309,5,1,8.0,0.0,5,0,2611,1029.22449
hpeKrMG-WP0,205,0,0,,,0,0,2734,851.661497
iKZ05QIN8mc,630,4,6,71.04166666666667,80.0,24,19,4729,2147.961905
jhvXWpRmhvM,108,6,1,40.0,20.0,6,2,987,359.328798
lAVYDUeqdW4,94,3,1,81.66666666666667,80.0,3,3,678,313.399728
lBC1nEq0_nk,232,0,0,,,0,0,2762,967.366531
lBGE5lwbruE,198,5,2,41.0,20.0,10,4,1633,789.849977
n3TeLpbw_jk,391,3,1,43.333333333333336,20.0,3,1,4584,1304.288073
nxKkM4bXPFI,291,5,1,16.0,20.0,5,0,1483,483.857415
sL0LtyfNYkM,231,5,1,91.0,90.0,5,5,1957,961.445442
t1Q9_PlN4GU,60,3,1,80.0,80.0,3,3,502,198.902132
tFVAaUcOm4I,402,5,1,34.0,20.0,5,1,3899,1338.467846
taSlxgvvrBM,81,0,0,,,0,0,859,267.818957
uwDajwnP2XE,115,0,0,,,0,0,1497,478.377506
wEevt2a4SKI,1729,6,1,42.5,20.0,6,2,17301,5766.1934
wKyt5ssrDQ8,78,5,1,86.0,90.0,5,5,800,258.716735
yctzuuGAm-E,730,6,1,13.333333333333334,20.0,6,0,5031,2431.82585
zUyj7Xn9-sk,138,1,1,80.0,80.0,1,1,80,230.040091
zt7YAna-Qcc,235,6,2,22.5,20.0,12,2,1960,938.968526
