video_id,frames,topics,comments,corr_avg,corr_median,corr_n,corr_n_ge_60,transcript_words,duration_s
-qCO7NUpLc0,0,1,2,81.87931034482759,85.0,290,270,42,479.161
09c4bdKM5Kw,0,5,2,19.462335216572505,20.0,1062,94,3309,875.981
15cdyl2PU-E,0,6,2,29.545112781954888,20.0,266,56,1270,428.641
31ArBvYoG2Q,0,9,1,80.22736418511066,85.0,994,906,6512,1648.181
35YuILUlfGs,0,8,1,60.15243902439025,80.0,164,111,1675,664.661
3cFSNRG2xfA,0,3,1,79.18367346938776,85.0,49,43,378,151.9518
3dQjIeYoIdM,0,3,3,56.81739130434783,80.0,345,212,1165,478.921
56p3_aORiJ0,0,2,4,73.52043596730245,85.0,1468,1219,3331,1209.921
7JH1_ZKV7t4,0,2,1,14.654088050314465,5.0,159,13,1696,523.701
9fFjlxUUQZg,0,0,2,53.76190476190476,80.0,252,142,679,417.801
9fYzb1g8tzw,0,6,1,41.64705882352941,20.0,170,67,2180,652.061
ACvQNJwZSPg,0,0,2,59.65,80.0,200,132,34,330.621
AN3yxIBAxTA,0,8,1,55.421052631578945,80.0,304,172,2493,984.121
CAYKno16weE,0,2,7,60.85021645021645,80.0,1155,782,1839,649.941
CvMDlG_AF3Q,0,1,3,71.62790697674419,80.0,516,428,67,569.701
DOWDNBu9DkU,0,4,1,6.528662420382165,0.0,314,6,4505,1291.521
DQOt-m7rg80,0,4,1,76.0060975609756,80.0,164,148,1318,531.861
DeSDjjicGWY,0,7,1,49.822680412371135,40.0,485,242,2439,954.441
DkbfBIMSdgo,0,5,1,63.77450980392157,80.0,102,72,1010,384.701
ERLMO-nay30,0,3,2,71.17289719626169,80.0,214,176,128,344.201
FNG9f2qJdWk,0,2,1,50.23809523809524,70.0,105,55,142,341.461
GbdF6th5PZk,0,3,4,25.84731543624161,20.0,596,107,209,485.161
Gpm-TI21x9s,0,6,1,66.55018587360595,80.0,269,194,3108,1048.221
GqCn94Ksdbo,0,2,2,83.78415300546447,85.0,366,351,1075,603.481
HWMq1WjvgfE,0,3,2,85.34795321637426,90.0,1026,979,2649,1699.361
K4aI2t5T00c,0,3,7,62.516984644020475,80.0,2149,1456,111,506.381
KDwqqlqdYFQ,0,0,1,78.85714285714286,80.0,175,161,835,581.901
LYJDlz5w77Y,0,7,2,55.27229299363057,80.0,628,337,2648,1022.888533
N5DbiWFjbh8,0,6,1,45.16307692307692,20.0,650,305,3205,1073.121
NQvVeLHzfSs,0,3,5,74.03030303030303,80.0,165,138,253,132.541
P4GsoMTv-SY,0,3,5,52.91342465753424,80.0,1825,973,3031,1216.141
PWyqVEkZGWk,0,5,2,74.54460966542752,80.0,538,466,2815,877.981
PfFkm0Kgkn0,0,1,1,76.98275862068965,80.0,116,106,35,382.361
R2UqeJbK2yc,0,1,2,81.708984375,80.0,512,495,39,424.701
S0j4xOuRzD4,0,0,5,59.282208588957054,80.0,815,530,1687,649.901
U5cqrrhq9TA,0,5,3,54.29699842022117,80.0,633,370,1697,685.361
WoHjWZFTnpQ,0,6,1,59.12871287128713,80.0,202,125,2535,651.466667
WpE4mQegNLgESP32,0,8,1,46.45918367346939,20.0,294,141,1970,
YIAQ80evrFM,0,0,7,62.93181818181818,80.0,616,429,42,293.261
YQ8ZhHBraZg,0,3,1,38.442622950819676,20.0,61,21,649,192.181
YQeOmeMGpvE,0,6,1,38.01020408163265,20.0,196,62,2453,790.261
ZOuZWE_tfgQ,0,5,2,76.19763513513513,80.0,592,530,1642,969.341
_HHxV-7alwE,0,4,2,33.925187032418954,20.0,1604,406,7665,2660.021
a3wDEcORRR4,0,9,2,77.77027027027027,80.0,296,273,1512,461.027233
cggDZE7gZNw,0,3,4,74.02836879432624,80.0,1128,965,75,556.861
dKB7uHYU-ow,0,3,1,56.46067415730337,80.0,89,53,39,284.241
dV8rpGUoxns,0,6,1,77.58576051779936,80.0,618,572,3381,1019.921
fcmXG3wB_1M,0,3,1,65.32203389830508,85.0,177,131,214,578.361
gdJHi9I0V4w,0,3,2,54.31392045454545,80.0,704,397,108,581.461
h50JwrVl2nQ,0,3,2,66.23766816143498,80.0,446,341,72,366.561
hRnofMxEf3Q,0,6,1,35.209713024282564,20.0,453,132,4158,1489.921
hnPi6i8Ua1M,0,2,6,49.354166666666664,40.0,672,332,912,365.441
jLXW6qVdfq4,0,0,3,79.19047619047619,85.0,210,193,53,233.181
lV6zevUF-v0,0,6,2,53.794117647058826,80.0,510,287,1180,828.761
lWgYgef-hQ8,0,1,2,58.6025641025641,80.0,312,199,48,516.001
mcAMNsmT6uE,0,3,2,58.6437125748503,80.0,334,215,627,653.141
muGlauyfOGsT,0,3,1,23.29032258064516,20.0,155,13,85,506.601
nxMkX0wtLm4,0,1,3,75.43910256410257,80.0,312,272,34,341.861
qNLvoSQCx60,0,7,1,37.20858895705521,20.0,163,59,1354,623.661
r0kBl1__VEQ,0,6,1,66.650390625,80.0,512,393,3249,843.301
raTtiqWOFW8,0,0,2,66.64238410596026,80.0,302,221,46,503.161
re-dSV_a0tM,0,8,1,21.922107674684995,20.0,873,58,3600,1440.801
rw3I118gQa8,0,1,1,75.48603351955308,80.0,358,318,52,594.481
s0dNRe0XWJ8,0,2,1,17.752442996742673,5.0,307,43,2947,1016.741
sF0KOVWj9p8,0,7,2,21.292951541850222,20.0,454,55,1788,730.701
sHwSIcIdeDI,0,1,1,71.14173228346456,85.0,127,99,60,503.76
sI5Ftm1-jik,0,0,3,47.96536796536797,20.0,231,109,829,254.541
t4LPzGIr41c,0,6,1,72.37619047619047,80.0,210,172,2456,678.761
u40kX1DYKdA,0,2,1,59.035714285714285,80.0,140,90,998,458.421
w49SSxiPK_Q,0,1,2,75.48611111111111,80.0,144,129,31,236.161
wmTlM5s2xTY,0,7,1,35.661818181818184,20.0,275,79,2357,891.281
yPwYNUDkkZs,0,4,2,74.19806094182826,80.0,722,602,2566,1189.621
z58RORCUTao,0,7,1,22.754010695187166,20.0,374,63,1776,612.041
zZE4AejgDOA,0,2,1,67.83707865168539,80.0,178,139,110,584.561
