video_id,duration_seconds,total_comments,unique_correlated,pct_correlated,engagement,top_topic_id,top_topic_count,top_topic_avg_score,top_topic_pct
-qCO7NUpLc0,479.161,238,5,0.02100840336134454,29.802091572561206,T1,6,96.66666666666667,0.025210084033613446
09c4bdKM5Kw,875.981,40,9,0.225,2.7397854519675655,T1,6,80.0,0.15
15cdyl2PU-E,428.641,45,14,0.3111111111111111,6.298977465991354,T4,10,80.5,0.2222222222222222
31ArBvYoG2Q,1648.181,168,44,0.2619047619047619,6.115833151820097,T3,28,80.0,0.16666666666666666
35YuILUlfGs,664.661,966,121,0.12525879917184266,87.20234826475452,T5,50,80.0,0.051759834368530024
3cFSNRG2xfA,151.9518,24,5,0.20833333333333334,9.476689318586551,T3,5,80.0,0.20833333333333334
3dQjIeYoIdM,478.921,863,106,0.12282734646581692,108.11804034485854,T3,85,80.76470588235294,0.0984936268829664
56p3_aORiJ0,1209.921,554,83,0.14981949458483754,27.472868063286775,T2,60,80.33333333333333,0.10830324909747292
7JH1_ZKV7t4,523.701,1416,116,0.08192090395480225,162.22997473749334,T2,81,79.81481481481481,0.057203389830508475
9fFjlxUUQZg,417.801,9,0,0.0,1.292481348776092,None,0,0.0,0.0
9fYzb1g8tzw,652.061,68,19,0.27941176470588236,6.25708330969035,T1,11,79.0909090909091,0.16176470588235295
a3wDEcORRR4,461.027233,54,21,0.3888888888888889,7.027784408562259,T1,15,79.66666666666667,0.2777777777777778
ACvQNJwZSPg,330.621,455,0,0.0,82.57188744816573,None,0,0.0,0.0
AN3yxIBAxTA,984.121,344,107,0.311046511627907,20.973030755364434,T1,74,80.74324324324324,0.21511627906976744
CAYKno16weE,649.941,264,58,0.2196969696969697,24.371442946359746,T1,46,79.78260869565217,0.17424242424242425
cggDZE7gZNw,556.861,252,5,0.01984126984126984,27.152197765690183,T2,8,82.5,0.031746031746031744
CvMDlG_AF3Q,569.701,446,5,0.011210762331838564,46.972008123559554,T1,8,83.75,0.017937219730941704
DeSDjjicGWY,954.441,704,110,0.15625,44.256271471992505,T6,54,80.0925925925926,0.07670454545454546
dKB7uHYU-ow,284.241,3,0,0.0,0.6332654332063284,None,0,0.0,0.0
DkbfBIMSdgo,384.701,217,42,0.1935483870967742,33.844466221819026,T1,34,80.44117647058823,0.15668202764976957
DOWDNBu9DkU,1291.521,2812,37,0.013157894736842105,130.6366679287445,T1,14,81.07142857142857,0.004978662873399715
DQOt-m7rg80,531.861,18,6,0.3333333333333333,2.0306057409736753,T1,4,80.0,0.2222222222222222
