video_id,frames,topics,comments,corr_avg,corr_median,corr_n,corr_n_ge_60,transcript_words,duration_s
-AKD2Lv7XqI,125,4,3,66.71345029239767,80.0,513,385,927,415.421
0Mu2L9z1MH8,247,5,1,53.89850746268657,80.0,335,196,1171,411.781
1WYDsiYJGoQ,394,6,4,33.005780346820806,20.0,1730,548,4334,1314.301
2_y_3_3V-so,62,6,1,66.67045454545455,80.0,88,66,547,204.901
3xe-g35SmEY,152,0,1,31.292079207920793,20.0,202,52,1651,632.001
408qlS2z6ys,249,5,2,61.22255192878338,80.0,674,444,1713,828.141
4ObzEft2R_g,119,6,5,62.860975609756096,80.0,820,575,1303,396.961
4dmrahCJonM,339,10,1,78.06060606060606,90.0,462,398,4257,1354.821
8YPX1gZGyJg,184,5,2,70.398,80.0,500,411,620,306.221
AOf-i2vLd2o,371,6,4,66.191,80.0,2000,1508,2455,1236.181
AmlmkTPqZrk,44,3,1,57.98360655737705,80.0,61,38,349,144.021
AoJDIy52y7g,195,5,3,60.57861635220126,80.0,795,519,1343,648.281
BYvTEfNAi38,194,4,1,86.81297709923665,90.0,262,259,2599,809.081
E_RDCFOlJx4,251,5,3,65.80924287118977,85.0,1017,723,3239,1043.641
EdUAecpYVWQ,284,2,1,42.30789473684211,20.0,380,143,2839,946.581
FXSpHy8LvmY,215,10,1,79.13513513513513,85.0,296,266,2677,894.461
GrvvkYTW_0k,140,1,11,48.56295576081672,70.0,2057,1037,1226,465.781
ILeLo1lWjBk,643,8,1,31.157225433526012,20.0,865,245,3236,1071.321
IiilGiJZDsI,198,5,1,35.28624535315985,20.0,269,69,1724,656.801
KKjHZpNMeik,153,4,1,69.25,80.0,208,167,1015,508.941
L0QraSYq8tw,112,3,2,62.5328947368421,80.0,304,217,834,372.841
MEHVDGUP2Co,127,3,1,35.46220930232558,20.0,344,114,590,210.201
OBM5T5_kgdI,154,1,3,70.55016181229773,80.0,618,497,1542,512.541
PS_p3O9q4YI,378,5,1,27.37524557956778,20.0,509,71,2658,1259.881
PlKeFj5teo4,44,8,1,71.34848484848484,85.0,66,54,1318,437.561
RiRyzLl4Y8U,285,5,6,81.51818181818182,85.0,2310,2188,2724,1138.741
Sd6CcsCgFbg,232,1,1,59.00645161290323,80.0,310,196,6293,2315.721
URj7TorDHmQ,201,6,1,77.96350364963503,90.0,274,233,1816,669.141
UrCFv2qCELI,224,3,1,42.87043189368771,20.0,301,117,1748,745.301
WoxDbIbpP_Q,1266,3,3,55.2093435836783,80.0,5073,2892,6081,2109.541
XRsJRqipSx8,260,5,1,80.03703703703704,80.0,351,339,2436,1082.801
_VzHpLjKeZ8,1773,11,2,75.00505263157895,90.0,4750,3915,9386,2957.301
aXTtu4n37WI,385,3,2,77.75968992248062,85.0,1032,911,3800,1283.301
aqfyRUVSq9I,223,6,2,68.05115511551155,80.0,606,464,3035,926.421
btOIDQeMrMg,73,0,1,34.65979381443299,20.0,97,27,967,302.121
dQeNONerxEU,354,7,2,69.6294363256785,80.0,958,754,4897,1474.861
dmPIydL0lyM,233,7,2,70.52365930599369,80.0,634,510,2228,775.261
ewYBc1jBDGM,309,5,1,62.02398081534772,80.0,417,289,2611,1029.201
hpeKrMG-WP0,205,0,1,86.3040293040293,90.0,273,266,2734,851.621
iKZ05QIN8mc,630,4,6,61.67496050552923,80.0,5064,3490,4729,2147.941
jhvXWpRmhvM,108,6,1,29.8,20.0,150,31,987,359.281
lAVYDUeqdW4,94,3,1,81.828125,85.0,128,123,678,313.361
lBC1nEq0_nk,232,0,2,84.01132686084142,90.0,618,582,2762,967.321
lBGE5lwbruE,198,5,2,73.84200743494424,80.0,538,462,1633,789.873197
n3TeLpbw_jk,391,3,1,22.849236641221374,10.0,524,101,4584,1304.221
nxKkM4bXPFI,291,5,1,31.07379134860051,20.0,393,89,1483,483.821
sL0LtyfNYkM,231,5,1,88.23961661341853,90.0,313,313,1957,961.401
t1Q9_PlN4GU,60,3,1,81.46987951807229,85.0,83,78,502,198.861
tFVAaUcOm4I,402,5,1,43.020332717190385,20.0,541,205,3899,1338.441
taSlxgvvrBM,81,0,1,89.22222222222223,90.0,108,105,859,267.781
uwDajwnP2XE,115,0,1,76.97385620915033,80.0,153,142,1497,478.341
wEevt2a4SKI,1729,6,1,60.387710947641715,80.0,2311,1472,17301,5766.161
wKyt5ssrDQ8,78,5,1,69.21100917431193,85.0,109,85,800,258.681
yctzuuGAm-E,730,6,1,37.97344228804903,20.0,979,319,5031,2431.801
zUyj7Xn9-sk,138,1,1,88.37837837837837,90.0,185,182,80,230.021
zt7YAna-Qcc,235,6,2,33.98432601880878,20.0,638,180,1960,938.941
