ACvQNJwZSPg
https://www.youtube.com/watch?v=ACvQNJwZSPg
Unknown Category

[00:00:00.000 → 00:00:15.440] Music
[00:00:16.140 → 00:00:22.100] Music
[00:00:22.100 → 00:00:52.080] Thank you.
[00:00:52.100 → 00:01:22.080] Thank you.
[00:01:22.100 → 00:01:52.080] Thank you.
[00:01:52.100 → 00:02:22.080] Thank you.
[00:02:22.100 → 00:02:52.080] Thank you.
[00:02:52.100 → 00:03:22.080] Thank you.
[00:03:22.100 → 00:03:52.080] Thank you.
[00:03:52.100 → 00:04:22.080] Thank you.
[00:04:22.100 → 00:04:52.080] Thank you.
[00:04:52.100 → 00:05:22.080] Thank you.
[00:05:22.100 → 00:05:24.100] Thank you.
