Metric,Emb Mean,Emb SD,Con Mean,Con SD,Test,Statistic,p-value,Cohen_d,Effect Interpretation,CI_lo,CI_hi,Sig
Avg. Correlation Score,57.30987161344762,19.755401507429042,53.513233165490796,20.98621907901299,Mann-Whitney U,2281.0,0.32694678922633424,0.18708719178233846,Negligible,-3.3834848469114966,10.976761742825143,n.s.
Caption Word Count,54510.35135135135,43490.73165391299,73842.85714285714,80246.33499270256,Mann-Whitney U,1739.0,0.1179867675323314,-0.3117466712357773,Small,-42929.08676838316,4264.075185371574,n.s.
Comment Count,2.0675675675675675,1.528998965937465,1.9107142857142858,1.750602864618469,Mann-Whitney U,2318.0,0.2056977568155609,0.09635197051327199,Negligible,-0.4254237894613079,0.7391303531678713,n.s.
Video Duration (s),699.4362599054053,416.96324805918346,963.9678219821429,891.1912124322207,Mann-Whitney U,1751.0,0.1318463406609834,-0.3986057923424751,Small,-520.771724118455,-8.291400035020104,n.s.
Caption Density (words/s),74.0582210755125,26.227224579471205,77.65100759026609,29.80116982721015,Mann-Whitney U,1699.0,0.07988672836475434,-0.12914763909494173,Negligible,-13.532287061006198,6.34671403149903,n.s.
Engagement Rate (comm/min),0.2665350548842619,0.33838077323634824,0.18647210728877703,0.21374868770736977,Mann-Whitney U,2398.0,0.12592547449174424,0.27472122412025946,Small,-0.016152093865149125,0.17627798905611883,n.s.
Correlation Efficiency,0.6158375148308202,0.27182585723854635,0.5522256228825426,0.28356572128743585,Mann-Whitney U,2336.0,0.21539366110982827,0.229702774728957,Small,-0.03411237303553204,0.16133615693208714,n.s.
Corr. Ratio (LLaVA),0.6738107491909376,0.11134812357638411,0.5072109734017208,0.24187613675786304,Independent t-test,1.9785349655867648,0.07006163097011575,0.8848277357824426,Large,-0.015822996764742914,0.34902254834317653,n.s.
Corr. Ratio (MiniCPM),0.639211767686744,0.11730829276956183,0.5781258294590443,0.15247419951079408,Independent t-test,1.0041161514735562,0.32949212914146075,0.4490543944000694,Small,-0.06732944556087048,0.18950132201626987,n.s.
Corr. Ratio (Integrated),0.8438189306060246,0.06690980573795316,0.6263724957517758,0.2004480238933545,Independent t-test,3.2539491789587145,0.007697619490044733,1.4552103118962627,Large,0.07033371993580073,0.364559149772697,**
Positive Sent. Ratio,0.5594633993296418,0.13555146030078397,0.5985150821865084,0.25152879763488717,Independent t-test,-0.43220100287629737,0.6722623022409264,-0.1932861644749966,Negligible,-0.23308041089970175,0.15497704518596864,n.s.
Neutral Sent. Ratio,0.3602801121595534,0.10627550662994306,0.3144741197480511,0.18503506493438554,Independent t-test,0.6788311240541318,0.5080421105398156,0.3035825077255263,Small,-0.09858421009844642,0.190196194921451,n.s.
Negative Sent. Ratio,0.0802564885108047,0.05348223179817839,0.09920592001666,0.11858724617632108,Mann-Whitney U,49.5,1.0,-0.20600077818680831,Small,-0.1081733627022898,0.07027449969057922,n.s.
